nom,secteur,ville,email,telephone,website,rating,avis,statut,date_ajout,notes
Maison de Beauté Dulcenae - Soin Visage - Massage Paris,estheticienne,Paris,contact@dulcenae.fr,01 81 69 49 25,http://www.dulcenae.fr/,4.9,,à_contacter,2026-05-12,
Mon Petit Institut,estheticienne,Paris,,06 64 76 35 43,http://www.monpetitinstitut.paris/,4.8,,à_contacter,2026-05-12,
Sens et beauté Lorette - Institut de beauté - Epilation Laser Paris 9,estheticienne,Paris,,07 68 35 35 20,https://sensetbeauteparis.fr/,4.3,,à_contacter,2026-05-12,
Institut d'esthétique et beauté Elodie Paris,estheticienne,Paris,,07 68 19 04 98,https://www.elodieesthetique.fr/,5,,à_contacter,2026-05-12,
L'Éden des Sens - Soin visage Biologique Recherche - Minceur LPG - Massage,estheticienne,Paris,contact@edendessens.com,06 65 58 77 15,https://edendessens.com/institut-beaute-paris-10/,4.9,,à_contacter,2026-05-12,
Beauty Parlor Paris - Gold Beauty Lab,estheticienne,Paris,contact@goldbeautylab.fr,09 81 29 20 19,https://www.goldbeautylab.fr/,4.9,,à_contacter,2026-05-12,
Bonheur,estheticienne,Paris,pauline.katz@planity.com,06 67 45 91 94,https://www.planity.com/institut-de-beaute-bonheur-75005-paris,4.9,,à_contacter,2026-05-12,
DEEP BEAUTY STUDIO - Radiofréquence INDIBA - Soins visage coréens Genosys - Paris 16,estheticienne,Paris,,01 53 86 99 56,https://www.deepbeautystudio.com/,5,,à_contacter,2026-05-12,
L'institut Sothys,estheticienne,Paris,,01 53 93 91 53,https://www.institutsothys.paris/,4.9,,à_contacter,2026-05-12,
Beauté Parisienne,estheticienne,Paris,pauline.katz@planity.com,09 82 61 09 30,https://www.planity.com/beaute-parisienne-75015,4.8,,à_contacter,2026-05-12,
La cour du bien-être,estheticienne,Paris,isabella.villegas@fresha.com,09 81 32 24 92,https://www.fresha.com/fr/a/la-cour-du-bien-etre-paris-94-rue-saint-lazare-hnu1l40t,4.5,,à_contacter,2026-05-12,
Institut Garden - Belle et Parisienne,estheticienne,Paris,,01 43 31 81 06,https://www.belleetparisienne.fr/,4.8,,à_contacter,2026-05-12,
INSTITUT COURCELLES BEAUTE,estheticienne,Paris,,01 40 53 04 77,http://www.courcelles-beaute-institut.fr/,4.4,,à_contacter,2026-05-12,
Sens et beauté Vaugirard - Institut de beauté - Epilation Laser & LPG Paris 15,estheticienne,Paris,,07 49 39 39 63,https://www.sensetbeauteparis.fr/,4.4,,à_contacter,2026-05-12,
Madame Z institut de beauté / soin visage et corps / Paris 1 / Paris 2 ‍ ️,estheticienne,Paris,contact@madamez-institut.fr,07 67 14 63 15,https://www.madamez-institut.fr/,4.9,,à_contacter,2026-05-12,
Velvet Beauté,estheticienne,Paris,,06 40 78 48 67,http://www.velvetparis16.com/,4.9,,à_contacter,2026-05-12,
5 Bien Être,estheticienne,Paris,contact@5bienetre.com,06 11 14 32 32,https://www.5bienetre.com/,4,,à_contacter,2026-05-12,
Beauty by Juv - Institut de Beauté Paris 17,estheticienne,Paris,,01 55 37 98 29,https://beauty-by-juv.fr/,4.9,,à_contacter,2026-05-12,
Latitude ZEN,estheticienne,Paris,contact@latitudezen-institutdebeaute.com,01 43 72 41 77,http://www.latitudezen-institutdebeaute.com/,4.4,,à_contacter,2026-05-12,
Institute Maria Paris 15,estheticienne,Paris,,07 63 11 02 53,https://www.institut-maria.com/,4.8,,à_contacter,2026-05-12,
Guinot - Institut de Beauté Paris 12,estheticienne,Paris,,01 83 64 33 00,https://guinot-paris-12.fr/,5,,à_contacter,2026-05-12,
La Cour des Anges,estheticienne,Paris,,01 43 41 22 75,https://www.institut-de-beaute-paris-12.fr/?utm_source=google&utm_medium=maps,4.7,,à_contacter,2026-05-12,
Institut Ritta Beaute,estheticienne,Paris,,01 45 39 85 83,http://www.ritta-beaute.com/,4.6,,à_contacter,2026-05-12,
CASA DE LA BEAUTÉ - Microneedling - Hydrafacial - Hifu - Microblading,estheticienne,Paris,,06 67 68 08 57,https://www.casadelabeaute.com/,4.9,,à_contacter,2026-05-12,
Beauté+,estheticienne,Paris,,01 40 20 04 03,https://widget.treatwell.fr/salon/beaute-plus/,4.8,,à_contacter,2026-05-12,
Aixin Beauté Paris 6 eme,estheticienne,Paris,pauline.katz@planity.com,06 66 59 15 88,https://www.planity.com/aixin-beaute-75006-paris,4.9,,à_contacter,2026-05-12,
Widsline - institut de beauté,estheticienne,Paris,,07 83 38 71 62,https://widslineparis.com/reserver/,4.8,,à_contacter,2026-05-12,
Infinity Esthétique,estheticienne,Paris,contact@infinityesthetique.fr,01 45 70 96 58,https://infinityesthetique.fr/,4.9,,à_contacter,2026-05-12,
Studio Beauté,estheticienne,Paris,,01 56 59 78 00,http://www.studio-beaute.com/,4.5,,à_contacter,2026-05-12,
Beauté Noble Paris - Institut de beauté - Minceur -Aquabike,estheticienne,Paris,contact@beautenobleparis.fr,01 42 02 91 83,https://www.beautenobleparis.fr/,4.7,,à_contacter,2026-05-12,
Emilie Beauté,estheticienne,Paris,,01 46 51 38 82,http://www.emilie-beaute.fr/,4.6,,à_contacter,2026-05-12,
Maison de Beauté PAOMA | Soins Visage et Corps à Paris,estheticienne,Paris,svasquez@paomaparis.fr,01 84 74 58 00,https://paomaparis.fr/,4.9,,à_contacter,2026-05-12,
Belle O Naturel,estheticienne,Paris,,01 46 06 64 82,https://belleonaturel-paris.fr/,4.8,,à_contacter,2026-05-12,
Bel Ange,estheticienne,Paris,commerce@belange-paris.com,01 45 74 46 83,https://belange-paris.com/,4.8,,à_contacter,2026-05-12,
"Zoé Beauté Paris | Institut de beauté, onglerie, nails, épilations",estheticienne,Paris,,06 42 74 08 56,https://zoebeaute.fr/,4.7,,à_contacter,2026-05-12,
A L'institut,estheticienne,Paris,,01 42 93 46 60,http://www.alinstitutparis8.fr/,4.4,,à_contacter,2026-05-12,
Beauté-Lo,estheticienne,Paris,,09 87 18 33 82,https://widget.treatwell.fr/salon/beaute-lo/,4.8,,à_contacter,2026-05-12,
NakBeauty - Institut de beauté - Soins - Drainage brésilien - Nanoblading,estheticienne,Paris,,01 71 75 52 28,https://www.nakbeautyparis.com/,4.4,,à_contacter,2026-05-12,
Soins du visage Paris 16e - L'INSTANT par Céline Marengo,estheticienne,Paris,,06 14 15 31 01,https://linstant-trocadero.fr/,5,,à_contacter,2026-05-12,
BEAUTYSSIME Monge - Centre Expert LPG | Minceur & Anti-Âge,estheticienne,Paris,neuilly@beautyssime.fr,01 56 81 86 68,https://www.beautyssime.fr/,4.9,,à_contacter,2026-05-12,
Le Comptoir du Visage - Expert Soin Visage & regard,estheticienne,Paris,webmarketing@lecomptoirduvisage.com,01 42 25 57 56,https://www.lecomptoirduvisage.com/,4.9,,à_contacter,2026-05-12,
L Échappée Belle Institut de Beaute,estheticienne,Paris,contact@echappeebelle-75.fr,01 43 47 18 35,http://www.echappeebelle-75.fr/,4.9,,à_contacter,2026-05-12,
Beauté de Paris,estheticienne,Paris,,06 60 86 67 43,https://www.beaute-de-paris.fr/,4.9,,à_contacter,2026-05-12,
A moment of beauty - Beauty Salon,estheticienne,Paris,,09 86 63 66 77,https://reservationbeaute.fr/un-moment-de-beaute-92100,4.7,,à_contacter,2026-05-12,
Institut GUINOT HYDRAFACIAL LPG Quartier Latin Paris 5 (7j/7j 10h00-23h00 sur RDV),estheticienne,Paris,pauline.katz@planity.com,06 95 06 91 06,https://www.planity.com/institut-guinot-paris-centre-expert-lpg-rdv-rapide-au-0695069106-75005,5,,à_contacter,2026-05-12,
Eskale Beauté,estheticienne,Paris,,01 47 23 39 35,https://www.eskale-beaute.com/,4.6,,à_contacter,2026-05-12,
L'Escale pour Soi,estheticienne,Paris,,01 58 45 15 29,http://www.lescalepoursoi.com/,4.9,,à_contacter,2026-05-12,
Affinité Beauté - Belle et Parisienne,estheticienne,Paris,,01 43 27 06 61,https://www.institut-garden.fr/,4.9,,à_contacter,2026-05-12,
Mon Jardin de Beauté,estheticienne,Paris,,06 69 51 12 59,https://widget.treatwell.fr/salon/mon-jardin-de-beaute/,4.8,,à_contacter,2026-05-12,
L-Institut Parisien,estheticienne,Paris,service.client@treatwell.fr,09 83 05 32 33,https://www.treatwell.fr/salon/l-institut-parisien/,4.5,,à_contacter,2026-05-12,
Quai du Bien-Être,estheticienne,Paris,,09 50 25 09 69,http://quaidubienetre.com/,5,,à_contacter,2026-05-12,
Institut Grain de Beauté,estheticienne,Paris,,01 45 77 23 87,http://institutbeauteparis15.fr/,4.5,,à_contacter,2026-05-12,
Rose Beauty,estheticienne,Paris,contact@rosebeauty.fr,07 82 78 70 70,https://rosebeauty.fr/,5,,à_contacter,2026-05-12,
Sun Beauty Institute,estheticienne,Paris,,01 44 26 37 44,https://www.facebook.com/Soleilbeaute75,4.4,,à_contacter,2026-05-12,
Institut Guinot (Daumesnil),estheticienne,Paris,,01 43 07 24 40,https://www.institut-parisdaumesnil.guinot.com/,4.7,,à_contacter,2026-05-12,
Institut du Parc Monceau,estheticienne,Paris,,01 83 84 94 71,https://www.institut-parc-monceau.com/,5,,à_contacter,2026-05-12,
Institut de Beauté Quint'essence - Institut de beauté Paris 11,estheticienne,Paris,nath@institut-quintessence-paris.com,01 43 56 84 16,https://www.institut-quintessence-paris.com/,4.7,,à_contacter,2026-05-12,
Beauty success l’institut (Esthetic Center),estheticienne,Paris 1,contact@esthetic-center.com,01 42 21 38 89,https://www.esthetic-center.com/institut/esthetic-center-paris-rivoli/,4.1,,à_contacter,2026-05-12,
Institut de beauté Paris 75001 Bodyminute,estheticienne,Paris 1,,01 40 26 25 85,https://www.bodyminute.com/instituts/paris-61-3741/,4.2,,à_contacter,2026-05-12,
You Rêve Paris - Nails salon,estheticienne,Paris 1,,06 28 97 33 37,https://ureve.paris/,4.9,,à_contacter,2026-05-12,
Institut Mademoiselle,estheticienne,Paris 1,,06 50 74 00 08,https://www.facebook.com/Institut-Mademoiselle-Paris-1-101458504728309,3.7,,à_contacter,2026-05-12,
Body'Minute,estheticienne,Paris 1,,01 40 26 83 20,https://www.bodyminute.com/instituts/paris-14-3433/,3.5,,à_contacter,2026-05-12,
Institut de beauté pour Hommes BG Factory,estheticienne,Paris 1,taavi.thiel@bgfactory.com,01 88 33 45 67,https://www.bgfactory.com/,4.5,,à_contacter,2026-05-12,
All Skins Paris 1 - Expertise soins visage et Epilation Laser,estheticienne,Paris 1,,07 78 54 55 53,https://www.allskinsparis.com/,5,,à_contacter,2026-05-12,
Les Jardins de Nana,estheticienne,Paris 1,,01 45 08 18 02,http://www.jardinsdenana.com/,4.6,,à_contacter,2026-05-12,
MAISON COCOON PARIS,estheticienne,Paris 1,,06 82 19 13 36,http://maisoncocoonparis.com/,4.4,,à_contacter,2026-05-12,
MANIKYA Paris 1 | Manucure Russe / Nails,estheticienne,Paris 1,,07 45 01 31 61,https://manikyabeaute.fr/paris-1/accueil,4.6,,à_contacter,2026-05-12,
Elixir Beauty Paris,estheticienne,Paris 1,infos@elixir-beaute-paris.fr,01 45 78 14 80,http://elixir-beaute-paris.fr/,4.8,,à_contacter,2026-05-12,
LE SECRET VENDOME,estheticienne,Paris 1,,01 88 75 01 56,https://www.lesecretvendome.fr/,4.6,,à_contacter,2026-05-12,
Mix Beauty,estheticienne,Paris 1,contact@mixbeauty.com,01 83 79 96 66,https://mixbeauty.com/,4.5,,à_contacter,2026-05-12,
